title,artist,year
Physical,Olivia Newton-John,1982
Waiting For A Girl Like You,Foreigner,1982
Let's Groove,"Earth, Wind & Fire",1982
I Can't Go For That (No Can Do),Daryl Hall John Oates,1982
Young Turks,Rod Stewart,1982
Harden My Heart,Quarterflash,1982
Leather And Lace,Stevie Nicks With Don Henley,1982
Centerfold,The J. Geils Band,1982
Turn Your Love Around,George Benson,1982
Trouble,Lindsey Buckingham,1982
Yesterday's Songs,Neil Diamond,1982
Comin' In And Out Of Your Life,Barbra Streisand,1982
The Sweetest Thing (I've Ever Known),Juice Newton,1982
Hooked On Classics,Royal Philharmonic Orchestra,1982
Why Do Fools Fall In Love,Diana Ross,1982
Cool Night,Paul Davis,1982
Take My Heart (You Can Have It If You Want It),Kool & The Gang,1982
Don't Stop Believin',Journey,1982
Someone Could Lose A Heart Tonight,Eddie Rabbitt,1982
Waiting On A Friend,The Rolling Stones,1982
Shake It Up,The Cars,1982
I Wouldn't Have Missed It For The World,Ronnie Milsap,1982
Leader Of The Band,Dan Fogelberg,1982
Come Go With Me,The Beach Boys,1982
Steal The Night,Stevie Woods,1982
She's Got A Way,Billy Joel,1982
Our Lips Are Sealed,Go-Go's,1982
You Could Have Been With Me,Sheena Easton,1982
Under Pressure,Queen & David Bowie,1982
Take It Easy On Me,Little River Band,1982
Oh No,Commodores,1982
Sweet Dreams,Air Supply,1982
Every Little Thing She Does Is Magic,The Police,1982
Here I Am (Just When I Thought I Was Over You),Air Supply,1982
Love Is Alright Tonite,Rick Springfield,1982
Castles In The Air,Don McLean,1982
More Than Just The Two Of Us,Sneaker,1982
"My Girl (Gone, Gone, Gone)",Chilliwack,1982
Heart Like A Wheel,The Steve Miller Band,1982
Working For The Weekend,Loverboy,1982
Love In The First Degree,Alabama,1982
Key Largo,Bertie Higgins,1982
Private Eyes,Daryl Hall John Oates,1982
All Our Tomorrows,Eddie Schwartz,1982
If I Were You,Lulu,1982
My Kinda Lover,Billy Squier,1982
Start Me Up,The Rolling Stones,1982
Let Me Love You Once,Greg Lake,1982
Somewhere Down The Road,Barry Manilow,1982
Breakin' Away,Al Jarreau,1982
Sea Of Love,Del Shannon,1982
Little Darlin',Sheila,1982
The Old Songs,Barry Manilow,1982
Could It Be Love,Jennifer Warnes,1982
Feel Like A Number,Bob Seger & The Silver Bullet Band,1982
Arthur's Theme (Best That You Can Do),Christopher Cross,1982
Abacab,Genesis,1982
Keeping Our Love Alive,Henry Paul Band,1982
Falling In Love,Balance,1982
Poor Man's Son,Survivor,1982
No Reply At All,Genesis,1982
Never Too Much,Luther Vandross,1982
Wrack My Brain,Ringo Starr,1982
Those Good Old Dreams,Carpenters,1982
Wkrp In Cincinnati,Steve Carlisle,1982
Tryin' To Live My Life Without You,Bob Seger,1982
Love Is Like A Rock,Donnie Iris,1982
Through The Years,Kenny Rogers,1982
Closer To The Heart,Rush,1982
One Hundred Ways,Quincy Jones Featuring James Ingram,1982
Every Home Should Have One,Patti Austin,1982
Southern Pacific,Neil Young / Crazy Horse,1982
Crazy (Keep On Falling),The John Hall Band,1982
A World Without Heroes,KISS,1982
Tonight Tonight,Bill Champlin,1982
Pac-Man Fever,Buckner & Garcia,1982
The Theme From Hill Street Blues,Mike Post featuring Larry Carlton,1982
Living Eyes,Bee Gees,1982
Anyone Can See,Irene Cara,1982
"Mirror, Mirror",Diana Ross,1982
Let The Feeling Flow,Peabo Bryson,1982
Just Once,Quincy Jones Featuring James Ingram,1982
"You're My Latest, My Greatest Inspiration",Teddy Pendergrass,1982
Runaway Rita,Leif Garrett,1982
Chariots Of Fire - Titles,Vangelis,1982
I've Done Everything For You,Rick Springfield,1982
When All Is Said And Done,ABBA,1982
It's My Party,Dave Stewart and Barbara Gaskin,1982
Can't Hold Back (Your Loving),Kano,1982
The Night Owls,Little River Band,1982
The Woman In Me,Crystal Gayle,1982
Better Things,The Kinks,1982
When She Was My Girl,Four Tops,1982
Sausalito Summernight,Diesel,1982
We're In This Love Together,Al Jarreau,1982
"She's A Bad Mama Jama (She's Built, She's Stacked)",Carl Carlton,1982
Blaze Of Glory,Kenny Rogers,1982
For Your Eyes Only,Sheena Easton,1982
Super Freak (Part I),Rick James,1982
Endless Love,Diana Ross & Lionel Richie,1982
I Love Rock 'N Roll,Joan Jett & The Blackhearts,1982
We Got The Beat,Go-Go's,1982
Chariots Of Fire - Titles,Vangelis,1982
Freeze-frame,The J. Geils Band,1982
Make A Move On Me,Olivia Newton-John,1982
Don't Talk To Strangers,Rick Springfield,1982
Open Arms,Journey,1982
That Girl,Stevie Wonder,1982
Key Largo,Bertie Higgins,1982
Do You Believe In Love,Huey Lewis & The News,1982
Pac-Man Fever,Buckner & Garcia,1982
Edge Of Seventeen (Just Like The White Winged Dove),Stevie Nicks,1982
Should I Do It,The Pointer Sisters,1982
(Oh) Pretty Woman,Van Halen,1982
One Hundred Ways,Quincy Jones Featuring James Ingram,1982
'65 Love Affair,Paul Davis,1982
Sweet Dreams,Air Supply,1982
Find Another Fool,Quarterflash,1982
Take Off,Bob & Doug McKenzie,1982
Nobody Said It Was Easy (Lookin' For The Lights),LeRoux,1982
867-5309/jenny,Tommy Tutone,1982
Goin' Down,Greg Guidry,1982
My Guy,Sister Sledge,1982
Did It In A Minute,Daryl Hall John Oates,1982
Get Down On It,Kool & The Gang,1982
Juke Box Hero,Foreigner,1982
Baby Makes Her Blue Jeans Talk,Dr. Hook,1982
I've Never Been To Me,Charlene,1982
Ebony And Ivory,Paul McCartney And Stevie Wonder,1982
Always On My Mind,Willie Nelson,1982
Centerfold,The J. Geils Band,1982
Bobbie Sue,The Oak Ridge Boys,1982
Mama Used To Say,Junior,1982
The Beatles' Movie Medley,The Beatles,1982
Pop Goes The Movies Part I,Meco,1982
Theme From Magnum P.i.,Mike Post,1982
Genius Of Love,Tom Tom Club,1982
Hang Fire,The Rolling Stones,1982
Don't You Want Me,The Human League,1982
The Other Woman,Ray Parker Jr.,1982
Shine On,George Duke,1982
Empty Garden (Hey Hey Johnny),Elton John,1982
I'll Try Something New,A Taste Of Honey,1982
Making Love,Roberta Flack,1982
Stars on 45 III,Stars On,1982
Still In Saigon,The Charlie Daniels Band,1982
Let's Hang On,Barry Manilow,1982
Shanghai Breezes,John Denver,1982
If I Had My Wish Tonight,David Lasley,1982
Tainted Love,Soft Cell,1982
On A Carousel,Glass Moon,1982
Never Give Up On A Good Thing,George Benson,1982
Apache,Sugarhill Gang,1982
Since You're Gone,The Cars,1982
Man On The Corner,Genesis,1982
Run For The Roses,Dan Fogelberg,1982
Man On Your Mind,Little River Band,1982
It's Gonna Take A Miracle,Deniece Williams,1982
Wake Up Little Susie,Simon & Garfunkel,1982
On The Way To The Sky,Neil Diamond,1982
Fantasy,Aldo Nova,1982
Don't Stop Me Baby (I'm On Fire),The Boys Band,1982
Circles,Atlantic Starr,1982
When He Shines,Sheena Easton,1982
One To One,Carole King,1982
The Gigolo,O'Bryan,1982
I'm In Love Again,Pia Zadora,1982
Shake It Up,The Cars,1982
My Girl,Donnie Iris,1982
Hollywood,Shooting Star,1982
Baby Step Back,Gordon Lightfoot,1982
I'll Drink To You,Duke Jupiter,1982
Work That Body,Diana Ross,1982
You Got The Power,War,1982
Make Up Your Mind,Aurra,1982
Just To Satisfy You,Waylon & Willie,1982
If It Ain't One Thing...It's Another,"Richard ""Dimples"" Fields",1982
All Night With Me,Laura Branigan,1982
When It's Over,Loverboy,1982
Finally,T.G. Sheppard,1982
Without You (Not Another Lonely Night),Franke & The Knockouts,1982
A Night To Remember,Shalamar,1982
Teach Me Tonight,Al Jarreau,1982
If I Could Get You (into my Life),Gene Cotton,1982
Right The First Time,Gamma,1982
Sleepwalk,Larry Carlton,1982
Secret Journey,The Police,1982
Loving You,Chris Rea,1982
I Don't Know Where To Start,Eddie Rabbitt,1982
Murphy's Law,Cheri,1982
Over The Line,Eddie Schwartz,1982
Tonight I'm Yours (Don't Hurt Me),Rod Stewart,1982
"Mirror, Mirror",Diana Ross,1982
Spirits In The Material World,The Police,1982
Leader Of The Band,Dan Fogelberg,1982
Take It Easy On Me,Little River Band,1982
Just Can't Win 'em All,Stevie Woods,1982
Summer Nights,Survivor,1982
When All Is Said And Done,ABBA,1982
Daddy's Home,Cliff Richard,1982
Don't You Want Me,The Human League,1982
Rosanna,Toto,1982
Hurts So Good,John Cougar,1982
Heat Of The Moment,Asia,1982
Eye Of The Tiger,Survivor,1982
Let It Whip,Dazz Band,1982
Love's Been A Little Bit Hard On Me,Juice Newton,1982
Ebony And Ivory,Paul McCartney And Stevie Wonder,1982
Tainted Love,Soft Cell,1982
Caught Up In You,38 Special,1982
Only The Lonely,The Motels,1982
Hold Me,Fleetwood Mac,1982
Do I Do,Stevie Wonder,1982
Any Day Now,Ronnie Milsap,1982
Abracadabra,The Steve Miller Band,1982
Keep The Fire Burnin',REO Speedwagon,1982
Play The Game Tonight,Kansas,1982
Take Me Down,Alabama,1982
Always On My Mind,Willie Nelson,1982
Still They Ride,Journey,1982
What Kind Of Fool Am I,Rick Springfield,1982
Personally,Karla Bonoff,1982
Forget Me Nots,Patrice Rushen,1982
Even The Nights Are Better,Air Supply,1982
Wasted On The Way,"Crosby, Stills & Nash",1982
Hard To Say I'm Sorry,Chicago,1982
Going To A Go-Go,The Rolling Stones,1982
Early In The Morning,The Gap Band,1982
Crimson And Clover,Joan Jett & The Blackhearts,1982
The Other Woman,Ray Parker Jr.,1982
Break It Up,Foreigner,1982
You Should Hear How She Talks About You,Melissa Manchester,1982
This Man Is Mine,Heart,1982
Hooked On Swing,Larry Elgart And His Manhattan Swing Orchestra,1982
Be Mine Tonight,Neil Diamond,1982
If The Love Fits Wear It,Leslie Pearl,1982
Island Of Lost Souls,Blondie,1982
Dancing In The Street,Van Halen,1982
Out Of Work,Gary U.S. Bonds,1982
Angel In Blue,The J. Geils Band,1982
Kids In America,Kim Wilde,1982
Nice Girls,Eye To Eye,1982
Love Plus One,Haircut One Hundred,1982
I Found Somebody,Glenn Frey,1982
Paperlate,Genesis,1982
Your Imagination,Daryl Hall John Oates,1982
American Music,The Pointer Sisters,1982
Love Will Turn You Around,Kenny Rogers,1982
If You Want My Love,Cheap Trick,1982
Route 101,Herb Alpert,1982
Love Is In Control (Finger On The Trigger),Donna Summer,1982
Landslide,Olivia Newton-John,1982
Think I'm In Love,Eddie Money,1982
Vacation,Go-Go's,1982
Take It Away,Paul McCartney,1982
Body Language,Queen,1982
After The Glitter Fades,Stevie Nicks,1982
Street Corner,Ashford & Simpson,1982
(Sittin' On) The Dock Of The Bay,The Reddings,1982
Hope You Love Me Like You Say You Do,Huey Lewis & The News,1982
Cutie Pie,One Way,1982
Making Love,Roberta Flack,1982
I'll Find My Way Home,Jon & Vangelis,1982
To Dream The Dream,Frankie Miller,1982
Hot In The City,Billy Idol,1982
It's Gonna Take A Miracle,Deniece Williams,1982
Right Kind Of Love,Quarterflash,1982
What Do All The People Know,The Monroes,1982
I Really Don't Need No Light,Jeffrey Osborne,1982
Happy Hour,Deodato,1982
And I Am Telling You I'm Not Going,Jennifer Holliday,1982
Eye In The Sky,The Alan Parsons Project,1982
No One Like You,Scorpions,1982
Loveline,Dr. Hook,1982
Hooked On Big Bands,The Frank Barber Orch.,1982
I Want Candy,Bow Wow Wow,1982
Too Good To Turn Back Now,Rick Bowles,1982
Dance Wit' Me - Part 1,Rick James,1982
Words,Missing Persons,1982
Enough Is Enough,April Wine,1982
"Someday, Someway",Marshall Crenshaw,1982
Blue Eyes,Elton John,1982
Who Can It Be Now?,Men At Work,1982
Gloria,Laura Branigan,1982
Don't Talk To Strangers,Rick Springfield,1982
I Ran (So Far Away),A Flock Of Seagulls,1982
867-5309/jenny,Tommy Tutone,1982
I've Never Been To Me,Charlene,1982
Man On Your Mind,Little River Band,1982
Mega Force,707,1982
Without You (Not Another Lonely Night),Franke & The Knockouts,1982
Stone Cold,Rainbow,1982
Empty Garden (Hey Hey Johnny),Elton John,1982
Soup For One,Chic,1982
When It's Over,Loverboy,1982
Friends In Love,Dionne Warwick & Johnny Mathis,1982
When He Shines,Sheena Easton,1982
Fantasy,Aldo Nova,1982
Outlaw,War,1982
'65 Love Affair,Paul Davis,1982
Jack & Diane,John Cougar,1982
Abracadabra,The Steve Miller Band,1982
Hard To Say I'm Sorry,Chicago,1982
Eye In The Sky,The Alan Parsons Project,1982
Who Can It Be Now?,Men At Work,1982
Eye Of The Tiger,Survivor,1982
I Keep Forgettin' (Every Time You're Near),Michael McDonald,1982
Somebody's Baby,Jackson Browne,1982
You Can Do Magic,America,1982
I Ran (So Far Away),A Flock Of Seagulls,1982
Heart Attack,Olivia Newton-John,1982
Blue Eyes,Elton John,1982
Break It To Me Gently,Juice Newton,1982
You Should Hear How She Talks About You,Melissa Manchester,1982
Hurts So Good,John Cougar,1982
Hold On,Santana,1982
Up Where We Belong,Joe Cocker And Jennifer Warnes,1982
Gloria,Laura Branigan,1982
What's Forever For,Michael Murphey,1982
Do You Wanna Touch Me (Oh Yeah),Joan Jett & The Blackhearts,1982
Gypsy,Fleetwood Mac,1982
Big Fun,Kool & The Gang,1982
Don't Fight It,Kenny Loggins with Steve Perry,1982
Jump To It,Aretha Franklin,1982
Think I'm In Love,Eddie Money,1982
The One You Love,Glenn Frey,1982
Heartlight,Neil Diamond,1982
You Don't Want Me Anymore,Steel Breeze,1982
Voyeur,Kim Carnes,1982
Make Believe,Toto,1982
You Dropped A Bomb On Me,The Gap Band,1982
Love Come Down,Evelyn King,1982
New World Man,Rush,1982
Nobody,Sylvia,1982
Sweet Time,REO Speedwagon,1982
Southern Cross,"Crosby, Stills & Nash",1982
Athena,The Who,1982
You Keep Runnin' Away,38 Special,1982
Mickey,Toni Basil,1982
I Get Excited,Rick Springfield,1982
Steppin' Out,Joe Jackson,1982
Johnny Can't Read,Don Henley,1982
Young Love,Air Supply,1982
Pressure,Billy Joel,1982
Rock This Town,Stray Cats,1982
I Need You,Paul Carrack,1982
The Look Of Love (Part One),ABC,1982
American Heartbeat,Survivor,1982
Let Me Tickle Your Fancy,Jermaine Jackson,1982
Love Me Tomorrow,Chicago,1982
I'm So Excited,The Pointer Sisters,1982
Take The L.,The Motels,1982
A Penny For Your Thoughts,Tavares,1982
Muscles,Diana Ross,1982
What About Me,Moving Pictures,1982
I.g.y. (what A Beautiful World),Donald Fagen,1982
Only Time Will Tell,Asia,1982
Ribbon In The Sky,Stevie Wonder,1982
State Of Independence,Donna Summer,1982
Truly,Lionel Richie,1982
On The Wings Of Love,Jeffrey Osborne,1982
Get Closer,Linda Ronstadt,1982
Get Up And Go,Go-Go's,1982
Tug Of War,Paul McCartney,1982
Hot In The City,Billy Idol,1982
Never Been In Love,Randy Meisner,1982
Holdin' On,Tane Cain,1982
Heartbreaker,Dionne Warwick,1982
Right Here And Now,Bill Medley,1982
So Much In Love,Timothy B. Schmit,1982
Please Be The One,Karla Bonoff,1982
Missing You,Dan Fogelberg,1982
Be My Lady,Jefferson Starship,1982
The Only Way Out,Cliff Richard,1982
Rock The Casbah,The Clash,1982
Situation,Yaz,1982
All Of My Love,Bobby Caldwell,1982
Everybody Wants You,Billy Squier,1982
Destination Unknown,Missing Persons,1982
Electricland,Bad Company,1982
She's Tight,Cheap Trick,1982
Let It Be Me,Willie Nelson,1982
Shakin',Eddie Money,1982
Machinery,Sheena Easton,1982
Love Is In Control (Finger On The Trigger),Donna Summer,1982
Burning Down One Side,Robert Plant,1982
Close Enough To Perfect,Alabama,1982
Take It Away,Paul McCartney,1982
Love Will Turn You Around,Kenny Rogers,1982
You And I,Eddie Rabbitt With Crystal Gayle,1982
Hold Me,Fleetwood Mac,1982
777-9311,The Time,1982
Oh Julie,Barry Manilow,1982
Workin' For A Livin',Huey Lewis & The News,1982
Even The Nights Are Better,Air Supply,1982
Should I Stay Or Should I Go,The Clash,1982
Tainted Love,Soft Cell,1982
I'm Never Gonna Say Goodbye,Billy Preston,1982
I Will Always Love You,Dolly Parton,1982
Still In The Game,Steve Winwood,1982
